0,1,2,3,4,5,6,7,8,9,10
whole milk,pastry,,,,,,,,,
frozen fish,bottled water,,,,,,,,,
soda,seasonal products,,,,,,,,,
citrus fruit,whole milk,curd,chocolate marshmallow,,,,,,,
salty snack,soups,brown bread,,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
whole milk,pork,,,,,,,,,
canned beer,grapes,,,,,,,,,
root vegetables,hard cheese,waffles,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
frankfurter,newspapers,,,,,,,,,
whole milk,cookware,brown bread,bottled beer,,,,,,,
root vegetables,yogurt,,,,,,,,,
coffee,rolls/buns,,,,,,,,,
sausage,specialty bar,,,,,,,,,
tropical fruit,waffles,,,,,,,,,
chocolate,long life bakery product,,,,,,,,,
chicken,cat food,,,,,,,,,
sausage,packaged fruit/vegetables,curd,fruit/vegetable juice,,,,,,,
canned beer,dishes,,,,,,,,,
pip fruit,other vegetables,semi-finished bread,sliced cheese,,,,,,,
whole milk,soda,,,,,,,,,
rice,dish cleaner,,,,,,,,,
chicken,whole milk,,,,,,,,,
sausage,pip fruit,,,,,,,,,
berries,nut snack,sliced cheese,,,,,,,,
coffee,pastry,,,,,,,,,
sausage,curd,salty snack,,,,,,,,
other vegetables,rolls/buns,specialty cheese,,,,,,,,
chocolate,seasonal products,waffles,,,,,,,,
root vegetables,whole milk,,,,,,,,,
waffles,pasta,,,,,,,,,
ice cream,specialty chocolate,semi-finished bread,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
canned beer,yogurt,white bread,,,,,,,,
whole milk,pork,other vegetables,domestic eggs,,,,,,,
napkins,whole milk,,,,,,,,,
root vegetables,brown bread,domestic eggs,,,,,,,,
whipped/sour cream,shopping bags,rolls/buns,,,,,,,,
dessert,newspapers,domestic eggs,,,,,,,,
chocolate marshmallow,other vegetables,,,,,,,,,
bottled water,whole milk,whole milk,frozen vegetables,,,,,,,
chocolate,mustard,rolls/buns,,,,,,,,
soft cheese,specialty cheese,,,,,,,,,
ham,specialty bar,,,,,,,,,
canned beer,canned beer,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
flower soil/fertilizer,butter milk,,,,,,,,,
rolls/buns,yogurt,chicken,whole milk,,,,,,,
whole milk,salty snack,,,,,,,,,
brown bread,dish cleaner,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
pip fruit,soft cheese,,,,,,,,,
meat,whole milk,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
cream cheese ,whole milk,brown bread,whole milk,,,,,,,
canned beer,liquor,onions,chocolate,,,,,,,
tropical fruit,whole milk,,,,,,,,,
tropical fruit,curd,brown bread,pastry,,,,,,,
pet care,shopping bags,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
bottled beer,dishes,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
canned beer,soda,,,,,,,,,
salty snack,liquor,,,,,,,,,
frankfurter,female sanitary products,,,,,,,,,
bottled water,bottled beer,,,,,,,,,
sausage,flower (seeds),,,,,,,,,
dish cleaner,curd,,,,,,,,,
canned beer,yogurt,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
salty snack,soda,oil,,,,,,,,
yogurt,soda,frozen fish,,,,,,,,
condensed milk,whole milk,,,,,,,,,
sausage,pork,,,,,,,,,
chicken,yogurt,UHT-milk,root vegetables,yogurt,hard cheese,semi-finished bread,frozen potato products,,,
tropical fruit,misc. beverages,,,,,,,,,
pork,pip fruit,,,,,,,,,
frankfurter,coffee,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
bottled water,pastry,,,,,,,,,
white wine,specialty cheese,,,,,,,,,
liquor (appetizer),tropical fruit,,,,,,,,,
vinegar,rolls/buns,,,,,,,,,
citrus fruit,bottled beer,butter milk,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
rolls/buns,hamburger meat,candles,,,,,,,,
dog food,canned beer,,,,,,,,,
chocolate,mustard,white bread,,,,,,,,
sausage,canned beer,,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
oil,soda,waffles,,,,,,,,
waffles,butter milk,domestic eggs,,,,,,,,
pip fruit,white wine,root vegetables,shopping bags,,,,,,,
sausage,frankfurter,other vegetables,bottled water,,,,,,,
whole milk,liquor,,,,,,,,,
oil,other vegetables,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
meat,root vegetables,margarine,,,,,,,,
tropical fruit,frozen fruits,,,,,,,,,
sausage,other vegetables,,,,,,,,,
ham,bottled water,,,,,,,,,
frankfurter,whole milk,instant coffee,bottled water,,,,,,,
sausage,candles,,,,,,,,,
canned beer,soda,frozen vegetables,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
pork,cream cheese ,yogurt,,,,,,,,
berries,fruit/vegetable juice,cream cheese ,tropical fruit,,,,,,,
misc. beverages,salt,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
whole milk,sweet spreads,pip fruit,bottled water,mustard,,,,,,
pip fruit,other vegetables,,,,,,,,,
citrus fruit,yogurt,citrus fruit,other vegetables,,,,,,,
other vegetables,whole milk,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
UHT-milk,tropical fruit,,,,,,,,,
long life bakery product,rolls/buns,,,,,,,,,
softener,chocolate,,,,,,,,,
photo/film,whole milk,yogurt,whole milk,white bread,pot plants,dessert,,,,
meat,newspapers,,,,,,,,,
specialty chocolate,butter milk,,,,,,,,,
tropical fruit,pickled vegetables,,,,,,,,,
cocoa drinks,bottled water,sweet spreads,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
ham,pickled vegetables,,,,,,,,,
beverages,shopping bags,,,,,,,,,
domestic eggs,other vegetables,brown bread,,,,,,,,
dish cleaner,frozen potato products,,,,,,,,,
cream cheese ,yogurt,,,,,,,,,
liver loaf,chicken,rolls/buns,spread cheese,shopping bags,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
specialty chocolate,citrus fruit,UHT-milk,frozen meals,,,,,,,
shopping bags,domestic eggs,,,,,,,,,
berries,shopping bags,red/blush wine,,,,,,,,
chicken,salty snack,,,,,,,,,
tropical fruit,white bread,,,,,,,,,
ham,whole milk,,,,,,,,,
fruit/vegetable juice,rolls/buns,,,,,,,,,
cream cheese ,whipped/sour cream,napkins,,,,,,,,
ham,waffles,seasonal products,,,,,,,,
frankfurter,whipped/sour cream,cat food,,,,,,,,
frozen dessert,specialty chocolate,,,,,,,,,
hamburger meat,candles,,,,,,,,,
rolls/buns,waffles,,,,,,,,,
soda,brown bread,,,,,,,,,
curd,nuts/prunes,root vegetables,sausage,whole milk,rolls/buns,root vegetables,bottled water,hard cheese,,
yogurt,napkins,rolls/buns,liquor (appetizer),,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
root vegetables,sweet spreads,,,,,,,,,
beef,pip fruit,,,,,,,,,
bottled beer,yogurt,soda,,,,,,,,
frankfurter,waffles,,,,,,,,,
citrus fruit,bottled beer,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
citrus fruit,herbs,pudding powder,,,,,,,,
whole milk,fruit/vegetable juice,rolls/buns,,,,,,,,
hygiene articles,yogurt,,,,,,,,,
sugar,seasonal products,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
roll products ,whole milk,tropical fruit,rolls/buns,rolls/buns,,,,,,
canned beer,meat,,,,,,,,,
brown bread,frozen vegetables,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
other vegetables,candy,,,,,,,,,
bottled water,bottled water,,,,,,,,,
frankfurter,domestic eggs,frozen dessert,,,,,,,,
beef,cream cheese ,,,,,,,,,
meat,whole milk,newspapers,,,,,,,,
rolls/buns,misc. beverages,soda,,,,,,,,
margarine,chocolate,,,,,,,,,
white bread,jam,,,,,,,,,
ice cream,rolls/buns,,,,,,,,,
chicken,beverages,coffee,,,,,,,,
soda,frozen dessert,,,,,,,,,
butter,syrup,pickled vegetables,whole milk,,,,,,,
canned beer,shopping bags,hard cheese,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
pip fruit,whole milk,margarine,,,,,,,,
soda,grapes,,,,,,,,,
sausage,domestic eggs,frozen meals,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
other vegetables,domestic eggs,semi-finished bread,,,,,,,,
grapes,coffee,,,,,,,,,
curd,whipped/sour cream,margarine,,,,,,,,
soda,margarine,,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
beverages,tropical fruit,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
curd,cream cheese ,domestic eggs,,,,,,,,
sausage,beef,,,,,,,,,
pastry,canned beer,whipped/sour cream,grapes,,,,,,,
pastry,other vegetables,cake bar,,,,,,,,
ham,tidbits,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
frankfurter,baking powder,condensed milk,coffee,,,,,,,
frankfurter,other vegetables,,,,,,,,,
ham,napkins,,,,,,,,,
whole milk,brown bread,root vegetables,roll products ,,,,,,,
shopping bags,cream cheese ,cream cheese ,,,,,,,,
pastry,brown bread,,,,,,,,,
canned beer,semi-finished bread,,,,,,,,,
frozen fish,tropical fruit,,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
meat,fish,meat spreads,abrasive cleaner,margarine,,,,,,
soda,margarine,,,,,,,,,
spread cheese,specialty bar,,,,,,,,,
other vegetables,yogurt,pastry,,,,,,,,
fish,newspapers,,,,,,,,,
pork,yogurt,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
white bread,napkins,,,,,,,,,
domestic eggs,hamburger meat,shopping bags,,,,,,,,
long life bakery product,canned vegetables,,,,,,,,,
bottled water,whole milk,,,,,,,,,
whole milk,margarine,,,,,,,,,
bottled water,rolls/buns,popcorn,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
fruit/vegetable juice,whole milk,,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
bottled beer,frozen dessert,,,,,,,,,
beef,domestic eggs,,,,,,,,,
snack products,soups,,,,,,,,,
rolls/buns,waffles,,,,,,,,,
other vegetables,whole milk,bottled beer,,,,,,,,
sugar,canned vegetables,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
pork,cake bar,,,,,,,,,
ham,other vegetables,,,,,,,,,
cream cheese ,yogurt,whipped/sour cream,,,,,,,,
canned beer,whole milk,pork,oil,,,,,,,
domestic eggs,tropical fruit,,,,,,,,,
chicken,waffles,,,,,,,,,
beef,rolls/buns,,,,,,,,,
bottled beer,butter,,,,,,,,,
butter,skin care,rolls/buns,,,,,,,,
tropical fruit,zwieback,,,,,,,,,
soda,whole milk,,,,,,,,,
whole milk,sausage,whole milk,yogurt,cake bar,female sanitary products,soda,,,,
other vegetables,sausage,,,,,,,,,
bottled water,red/blush wine,onions,brown bread,,,,,,,
other vegetables,misc. beverages,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
beef,white bread,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
beef,dessert,,,,,,,,,
tropical fruit,pudding powder,,,,,,,,,
soda,detergent,,,,,,,,,
sausage,roll products ,,,,,,,,,
canned beer,whole milk,,,,,,,,,
other vegetables,beef,,,,,,,,,
herbs,coffee,salt,,,,,,,,
ham,yogurt,,,,,,,,,
chocolate,herbs,,,,,,,,,
root vegetables,pastry,,,,,,,,,
pet care,mustard,,,,,,,,,
root vegetables,misc. beverages,frozen dessert,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
beef,brown bread,,,,,,,,,
whole milk,canned beer,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
dessert,brown bread,,,,,,,,,
specialty bar,whole milk,cling film/bags,,,,,,,,
sugar,whole milk,,,,,,,,,
other vegetables,pickled vegetables,,,,,,,,,
beef,canned beer,,,,,,,,,
cleaner,misc. beverages,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
chocolate,pip fruit,rolls/buns,other vegetables,frozen vegetables,,,,,,
pip fruit,whole milk,,,,,,,,,
softener,dish cleaner,,,,,,,,,
whole milk,frozen vegetables,semi-finished bread,,,,,,,,
frankfurter,citrus fruit,,,,,,,,,
sausage,yogurt,tidbits,,,,,,,,
UHT-milk,cream cheese ,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
pastry,pasta,,,,,,,,,
dessert,domestic eggs,,,,,,,,,
other vegetables,beef,tropical fruit,root vegetables,shopping bags,,,,,,
meat,pip fruit,,,,,,,,,
chewing gum,curd,yogurt,,,,,,,,
butter,sweet spreads,sliced cheese,,,,,,,,
yogurt,white wine,,,,,,,,,
soda,white bread,chocolate,sugar,,,,,,,
brown bread,liquor,,,,,,,,,
berries,fruit/vegetable juice,rolls/buns,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
sausage,processed cheese,,,,,,,,,
whole milk,soda,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
dish cleaner,shopping bags,,,,,,,,,
pastry,chocolate,,,,,,,,,
beef,soft cheese,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
whipped/sour cream,salty snack,,,,,,,,,
berries,candy,,,,,,,,,
white bread,chocolate marshmallow,,,,,,,,,
long life bakery product,butter,,,,,,,,,
meat,other vegetables,,,,,,,,,
tropical fruit,bottled beer,domestic eggs,rolls/buns,long life bakery product,other vegetables,skin care,,,,
fruit/vegetable juice,meat,whole milk,root vegetables,frozen meals,,,,,,
hamburger meat,cat food,margarine,,,,,,,,
other vegetables,pip fruit,fruit/vegetable juice,,,,,,,,
sugar,frozen vegetables,,,,,,,,,
ice cream,margarine,sliced cheese,pastry,,,,,,,
sausage,root vegetables,brown bread,soda,,,,,,,
tropical fruit,curd cheese,,,,,,,,,
newspapers,grapes,onions,coffee,,,,,,,
tropical fruit,frozen fish,,,,,,,,,
bottled beer,beverages,,,,,,,,,
zwieback,cream cheese ,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
chocolate,seasonal products,rolls/buns,,,,,,,,
sugar,bottled water,,,,,,,,,
sausage,bottled water,,,,,,,,,
root vegetables,misc. beverages,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
long life bakery product,whipped/sour cream,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
frankfurter,whole milk,whole milk,,,,,,,,
hamburger meat,soft cheese,yogurt,margarine,,,,,,,
berries,root vegetables,bottled water,,,,,,,,
pip fruit,tropical fruit,whole milk,,,,,,,,
beef,whole milk,,,,,,,,,
frankfurter,pip fruit,meat,coffee,other vegetables,shopping bags,brown bread,curd,,,
sausage,whole milk,,,,,,,,,
soda,bottled beer,,,,,,,,,
dessert,bottled beer,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
yogurt,brown bread,newspapers,,,,,,,,
whole milk,coffee,bottled beer,,,,,,,,
citrus fruit,rolls/buns,pastry,,,,,,,,
pickled vegetables,soda,,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
hamburger meat,cat food,,,,,,,,,
UHT-milk,rice,newspapers,,,,,,,,
whipped/sour cream,citrus fruit,,,,,,,,,
chicken,butter,curd,flower (seeds),,,,,,,
tropical fruit,whole milk,whole milk,,,,,,,,
rolls/buns,chewing gum,,,,,,,,,
yogurt,long life bakery product,,,,,,,,,
flower (seeds),whipped/sour cream,specialty chocolate,bottled water,,,,,,,
oil,specialty vegetables,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
soda,whipped/sour cream,,,,,,,,,
frankfurter,citrus fruit,yogurt,frozen vegetables,,,,,,,
other vegetables,rolls/buns,bottled water,soda,,,,,,,
chicken,tropical fruit,,,,,,,,,
root vegetables,white bread,,,,,,,,,
pip fruit,soda,,,,,,,,,
pork,whole milk,domestic eggs,sweet spreads,,,,,,,
pip fruit,cream cheese ,,,,,,,,,
mustard,curd,,,,,,,,,
curd,waffles,,,,,,,,,
bottled beer,whole milk,tropical fruit,whole milk,house keeping products,,,,,,
vinegar,dog food,,,,,,,,,
pork,other vegetables,,,,,,,,,
tropical fruit,popcorn,,,,,,,,,
whole milk,other vegetables,rolls/buns,Instant food products,,,,,,,
whole milk,pastry,specialty cheese,,,,,,,,
dessert,pastry,,,,,,,,,
tropical fruit,hygiene articles,,,,,,,,,
pastry,bottled water,,,,,,,,,
chocolate,other vegetables,,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
frankfurter,processed cheese,,,,,,,,,
canned beer,other vegetables,fruit/vegetable juice,,,,,,,,
pork,sausage,frankfurter,other vegetables,pork,curd,flower soil/fertilizer,curd,margarine,,
photo/film,fruit/vegetable juice,,,,,,,,,
rolls/buns,tidbits,,,,,,,,,
pork,sugar,,,,,,,,,
other vegetables,berries,,,,,,,,,
pork,bottled beer,flour,,,,,,,,
whole milk,beef,,,,,,,,,
rolls/buns,soda,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
sausage,cream,,,,,,,,,
frankfurter,coffee,,,,,,,,,
misc. beverages,salty snack,,,,,,,,,
mustard,zwieback,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
ice cream,yogurt,,,,,,,,,
white bread,candy,,,,,,,,,
cat food,semi-finished bread,,,,,,,,,
yogurt,bottled beer,,,,,,,,,
whole milk,onions,,,,,,,,,
butter milk,newspapers,,,,,,,,,
other vegetables,whole milk,tropical fruit,yogurt,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
finished products,cream cheese ,,,,,,,,,
canned beer,chocolate,,,,,,,,,
pot plants,pickled vegetables,house keeping products,,,,,,,,
canned vegetables,pasta,,,,,,,,,
citrus fruit,canned fish,,,,,,,,,
whole milk,pastry,liquor,,,,,,,,
whole milk,whole milk,,,,,,,,,
other vegetables,coffee,rolls/buns,,,,,,,,
organic sausage,pip fruit,newspapers,whipped/sour cream,,,,,,,
canned beer,bottled water,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
soda,frozen fish,,,,,,,,,
sausage,brown bread,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
sugar,butter,curd,,,,,,,,
cling film/bags,other vegetables,,,,,,,,,
sausage,brown bread,,,,,,,,,
fruit/vegetable juice,domestic eggs,,,,,,,,,
pip fruit,berries,other vegetables,bottled water,,,,,,,
other vegetables,yogurt,,,,,,,,,
white bread,butter,,,,,,,,,
onions,brown bread,domestic eggs,,,,,,,,
meat,meat,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
citrus fruit,candy,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
napkins,rolls/buns,,,,,,,,,
rolls/buns,napkins,bottled beer,,,,,,,,
canned beer,sliced cheese,cake bar,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
bottled water,canned vegetables,,,,,,,,,
citrus fruit,specialty fat,,,,,,,,,
sausage,soda,candy,,,,,,,,
onions,liquor (appetizer),,,,,,,,,
bottled beer,specialty cheese,,,,,,,,,
dessert,cake bar,,,,,,,,,
specialty bar,candy,root vegetables,ice cream,,,,,,,
sausage,nuts/prunes,,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
pork,newspapers,,,,,,,,,
whole milk,newspapers,,,,,,,,,
frozen vegetables,pastry,,,,,,,,,
root vegetables,nut snack,,,,,,,,,
pork,whole milk,,,,,,,,,
butter milk,whole milk,,,,,,,,,
whole milk,hygiene articles,,,,,,,,,
sausage,other vegetables,,,,,,,,,
cake bar,soda,,,,,,,,,
sausage,yogurt,,,,,,,,,
newspapers,pastry,,,,,,,,,
root vegetables,chewing gum,,,,,,,,,
instant coffee,chewing gum,,,,,,,,,
hamburger meat,popcorn,,,,,,,,,
yogurt,pasta,,,,,,,,,
spread cheese,brown bread,,,,,,,,,
whole milk,pip fruit,detergent,,,,,,,,
pork,specialty chocolate,,,,,,,,,
grapes,chewing gum,curd cheese,,,,,,,,
other vegetables,pot plants,,,,,,,,,
ice cream,curd,,,,,,,,,
frankfurter,other vegetables,ham,other vegetables,other vegetables,fruit/vegetable juice,rolls/buns,fruit/vegetable juice,rolls/buns,,
liquor (appetizer),yogurt,specialty chocolate,rolls/buns,,,,,,,
citrus fruit,pastry,,,,,,,,,
curd,misc. beverages,,,,,,,,,
pork,soda,soda,,,,,,,,
sausage,other vegetables,hard cheese,,,,,,,,
frozen vegetables,bottled water,,,,,,,,,
bottled water,soda,,,,,,,,,
canned beer,brown bread,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
tropical fruit,grapes,ice cream,sweet spreads,,,,,,,
hamburger meat,frozen potato products,,,,,,,,,
soda,frankfurter,bottled water,chicken,,,,,,,
domestic eggs,specialty cheese,,,,,,,,,
pastry,other vegetables,,,,,,,,,
citrus fruit,processed cheese,,,,,,,,,
candles,coffee,,,,,,,,,
sausage,ice cream,rolls/buns,,,,,,,,
bottled beer,yogurt,,,,,,,,,
bottled water,brown bread,,,,,,,,,
cereals,rolls/buns,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
whole milk,newspapers,,,,,,,,,
rolls/buns,dessert,,,,,,,,,
domestic eggs,candy,,,,,,,,,
whole milk,other vegetables,newspapers,,,,,,,,
citrus fruit,sweet spreads,,,,,,,,,
frozen dessert,soda,,,,,,,,,
chicken,pastry,,,,,,,,,
whipped/sour cream,chocolate,,,,,,,,,
tropical fruit,frozen fish,bottled water,,,,,,,,
berries,dishes,,,,,,,,,
canned beer,yogurt,salty snack,,,,,,,,
whole milk,curd,bottled beer,,,,,,,,
whole milk,beef,citrus fruit,newspapers,bottled water,,,,,,
herbs,yogurt,prosecco,,,,,,,,
napkins,skin care,,,,,,,,,
chicken,curd,,,,,,,,,
canned beer,bottled water,long life bakery product,,,,,,,,
salty snack,red/blush wine,,,,,,,,,
pork,sliced cheese,,,,,,,,,
butter milk,cleaner,bottled water,,,,,,,,
pastry,snack products,,,,,,,,,
frozen vegetables,margarine,,,,,,,,,
frankfurter,baking powder,shopping bags,,,,,,,,
onions,curd,,,,,,,,,
pip fruit,chocolate marshmallow,,,,,,,,,
root vegetables,semi-finished bread,,,,,,,,,
instant coffee,soda,frozen meals,artif. sweetener,,,,,,,
beef,curd,,,,,,,,,
brown bread,sugar,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
berries,baking powder,,,,,,,,,
sliced cheese,whole milk,,,,,,,,,
chicken,cat food,,,,,,,,,
bottled beer,cream cheese ,chocolate,,,,,,,,
ham,white bread,,,,,,,,,
candy,domestic eggs,,,,,,,,,
other vegetables,rolls/buns,whole milk,margarine,,,,,,,
domestic eggs,butter,,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
tropical fruit,sausage,hamburger meat,zwieback,specialty cheese,domestic eggs,,,,,
whole milk,soda,mustard,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
brown bread,butter milk,,,,,,,,,
whole milk,canned fish,,,,,,,,,
canned beer,pip fruit,white bread,,,,,,,,
other vegetables,grapes,,,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
frozen vegetables,yogurt,bottled beer,,,,,,,,
tropical fruit,snack products,,,,,,,,,
whole milk,frozen meals,,,,,,,,,
whole milk,domestic eggs,syrup,,,,,,,,
chicken,butter milk,,,,,,,,,
frozen vegetables,beef,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
root vegetables,hygiene articles,,,,,,,,,
grapes,processed cheese,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
beverages,rolls/buns,,,,,,,,,
bottled water,yogurt,tropical fruit,whole milk,,,,,,,
whole milk,flower (seeds),honey,,,,,,,,
specialty chocolate,pastry,,,,,,,,,
newspapers,coffee,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
canned beer,yogurt,,,,,,,,,
yogurt,frozen vegetables,,,,,,,,,
tropical fruit,photo/film,,,,,,,,,
rolls/buns,yogurt,hard cheese,,,,,,,,
pasta,flower (seeds),,,,,,,,,
ready soups,shopping bags,,,,,,,,,
hamburger meat,pastry,brown bread,,,,,,,,
other vegetables,organic sausage,cling film/bags,,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
pot plants,yogurt,other vegetables,,,,,,,,
sausage,rolls/buns,,,,,,,,,
canned beer,bottled water,,,,,,,,,
frankfurter,soda,,,,,,,,,
yogurt,bottled water,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
flour,soda,,,,,,,,,
frozen potato products,frankfurter,brown bread,roll products ,detergent,,,,,,
citrus fruit,rolls/buns,salt,,,,,,,,
frozen fish,specialty chocolate,,,,,,,,,
curd,soft cheese,,,,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
canned beer,yogurt,,,,,,,,,
sausage,yogurt,fruit/vegetable juice,,,,,,,,
yogurt,whole milk,fruit/vegetable juice,,,,,,,,
butter,frozen dessert,whole milk,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
frankfurter,shopping bags,rolls/buns,,,,,,,,
yogurt,bottled beer,rolls/buns,yogurt,sugar,,,,,,
pork,pork,male cosmetics,,,,,,,,
tropical fruit,soft cheese,,,,,,,,,
whipped/sour cream,fruit/vegetable juice,,,,,,,,,
beverages,tropical fruit,rolls/buns,curd cheese,,,,,,,
canned beer,semi-finished bread,,,,,,,,,
pip fruit,napkins,,,,,,,,,
photo/film,frankfurter,other vegetables,curd,waffles,,,,,,
whole milk,whole milk,,,,,,,,,
beef,ketchup,pork,hygiene articles,,,,,,,
UHT-milk,other vegetables,cake bar,,,,,,,,
yogurt,pastry,bottled water,,,,,,,,
fruit/vegetable juice,long life bakery product,specialty cheese,,,,,,,,
butter milk,yogurt,,,,,,,,,
tropical fruit,tropical fruit,dessert,sweet spreads,,,,,,,
turkey,flour,,,,,,,,,
yogurt,rolls/buns,fruit/vegetable juice,spices,canned fish,,,,,,
cream cheese ,whole milk,,,,,,,,,
UHT-milk,sugar,,,,,,,,,
other vegetables,pip fruit,domestic eggs,,,,,,,,
pet care,pork,,,,,,,,,
whipped/sour cream,hard cheese,,,,,,,,,
whole milk,bottled water,,,,,,,,,
citrus fruit,frankfurter,coffee,UHT-milk,candy,fruit/vegetable juice,,,,,
whole milk,domestic eggs,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
citrus fruit,canned beer,hygiene articles,chicken,whole milk,napkins,white wine,UHT-milk,shopping bags,,
domestic eggs,butter milk,long life bakery product,,,,,,,,
whole milk,soda,,,,,,,,,
margarine,bottled water,,,,,,,,,
pork,domestic eggs,,,,,,,,,
whole milk,chocolate marshmallow,rolls/buns,,,,,,,,
pip fruit,UHT-milk,shopping bags,,,,,,,,
soda,curd,,,,,,,,,
butter,whipped/sour cream,,,,,,,,,
yogurt,pet care,,,,,,,,,
sausage,other vegetables,shopping bags,napkins,,,,,,,
bottled beer,whole milk,,,,,,,,,
pip fruit,soda,,,,,,,,,
butter,coffee,pastry,bottled beer,,,,,,,
beef,flower (seeds),,,,,,,,,
soda,curd,soda,,,,,,,,
curd,red/blush wine,,,,,,,,,
semi-finished bread,yogurt,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
soda,zwieback,pastry,,,,,,,,
other vegetables,bottled water,,,,,,,,,
curd,yogurt,,,,,,,,,
soda,waffles,,,,,,,,,
whole milk,newspapers,,,,,,,,,
mustard,root vegetables,,,,,,,,,
